Method,Moves,Time
Random,22.0,0.0015759468078613281
Random,25.0,0.0006048679351806641
Random,27.0,0.0007040500640869141
Random,26.0,0.0006690025329589844
Random,33.0,0.0008158683776855469
Random,29.0,0.0007309913635253906
Random,31.0,0.0007977485656738281
Random,31.0,0.0007309913635253906
Random,25.0,0.0006418228149414062
Random,30.0,0.000713348388671875
Random,30.0,0.0007178783416748047
Random,31.0,0.0007460117340087891
Random,29.0,0.0006742477416992188
Random,30.0,0.0007560253143310547
Random,31.0,0.0008208751678466797
Random,26.0,0.0006511211395263672
Random,33.0,0.0008220672607421875
Random,25.0,0.0006258487701416016
Random,24.0,0.0005939006805419922
Random,27.0,0.0006909370422363281
Random,26.0,0.0006458759307861328
Random,31.0,0.0007557868957519531
Random,27.0,0.0006809234619140625
Random,28.0,0.0006902217864990234
Random,27.0,0.0007150173187255859
Random,27.0,0.0006840229034423828
Random,25.0,0.0006160736083984375
Random,26.0,0.0006802082061767578
Random,33.0,0.0008089542388916016
Random,28.0,0.0007140636444091797
Random,31.0,0.0007560253143310547
Random,31.0,0.0007719993591308594
Random,27.0,0.000698089599609375
Random,28.0,0.0006921291351318359
Random,34.0,0.0009369850158691406
Random,27.0,0.000659942626953125
Random,28.0,0.0007128715515136719
Random,29.0,0.0006849765777587891
Random,30.0,0.0008070468902587891
Random,25.0,0.0006251335144042969
Random,30.0,0.0007541179656982422
Random,28.0,0.0006990432739257812
Random,27.0,0.0006661415100097656
Random,26.0,0.0006589889526367188
Random,24.0,0.000621795654296875
Random,24.0,0.0005869865417480469
Random,30.0,0.0007228851318359375
Random,30.0,0.0007309913635253906
Random,25.0,0.0006630420684814453
Random,32.0,0.00080108642578125
Random,32.0,0.0008120536804199219
Random,27.0,0.0006909370422363281
Random,30.0,0.0008089542388916016
Random,27.0,0.0006620883941650391
Random,25.0,0.0006170272827148438
Random,31.0,0.0007879734039306641
Random,30.0,0.0007278919219970703
Random,33.0,0.0008232593536376953
Random,22.0,0.0005512237548828125
Random,29.0,0.0007219314575195312
Random,31.0,0.0007739067077636719
Random,31.0,0.0008451938629150391
Random,32.0,0.0007641315460205078
Random,30.0,0.0007719993591308594
Random,33.0,0.0008041858673095703
Random,22.0,0.0005557537078857422
Random,23.0,0.0006122589111328125
Random,26.0,0.0006399154663085938
Random,23.0,0.0005772113800048828
Random,26.0,0.0007121562957763672
Random,24.0,0.0006380081176757812
Random,29.0,0.0007119178771972656
Random,29.0,0.0007109642028808594
Random,24.0,0.000614166259765625
Random,34.0,0.0008292198181152344
Random,26.0,0.0006468296051025391
Random,24.0,0.0006201267242431641
Random,25.0,0.0006127357482910156
Random,35.0,0.0008447170257568359
Random,26.0,0.0006368160247802734
Random,26.0,0.0006749629974365234
Random,30.0,0.0007779598236083984
Random,22.0,0.0005471706390380859
Random,30.0,0.0007140636444091797
Random,26.0,0.0006861686706542969
Random,32.0,0.0007879734039306641
Random,23.0,0.0005750656127929688
Random,31.0,0.0007598400115966797
Random,31.0,0.0007429122924804688
Random,27.0,0.0006630420684814453
Random,30.0,0.0007269382476806641
Random,23.0,0.0005810260772705078
Random,26.0,0.0006499290466308594
Random,31.0,0.0007889270782470703
Random,32.0,0.0007951259613037109
Random,31.0,0.0007841587066650391
Random,34.0,0.00084686279296875
Random,32.0,0.000782012939453125
Random,25.0,0.0005869865417480469
Random,32.0,0.0007748603820800781
Random,21.0,0.0005331039428710938
Random,32.0,0.0008058547973632812
