Method,Moves,Time
"$w=32$, $d=5$",14.0,0.04210519790649414
"$w=32$, $d=5$",14.0,0.008416175842285156
"$w=32$, $d=5$",14.0,0.004142045974731445
"$w=32$, $d=5$",16.0,0.0059278011322021484
"$w=32$, $d=5$",15.0,0.004984140396118164
"$w=32$, $d=5$",15.0,0.007327079772949219
"$w=32$, $d=5$",18.0,0.0057220458984375
"$w=32$, $d=5$",17.0,0.009685039520263672
"$w=32$, $d=5$",15.0,0.005711078643798828
"$w=32$, $d=5$",19.0,0.008645057678222656
"$w=32$, $d=5$",18.0,0.006996870040893555
"$w=32$, $d=5$",18.0,0.007730960845947266
"$w=32$, $d=5$",16.0,0.009033918380737305
"$w=32$, $d=5$",14.0,0.008637189865112305
"$w=32$, $d=5$",16.0,0.007071971893310547
"$w=32$, $d=5$",14.0,0.005189180374145508
"$w=32$, $d=5$",18.0,0.013747930526733398
"$w=32$, $d=5$",15.0,0.008367061614990234
"$w=32$, $d=5$",17.0,0.009654045104980469
"$w=32$, $d=5$",18.0,0.008899927139282227
"$w=32$, $d=5$",15.0,0.01283407211303711
"$w=32$, $d=5$",17.0,0.010051250457763672
"$w=32$, $d=5$",17.0,0.007730245590209961
"$w=32$, $d=5$",16.0,0.004885196685791016
"$w=32$, $d=5$",14.0,0.005426883697509766
"$w=32$, $d=5$",15.0,0.0045359134674072266
"$w=32$, $d=5$",14.0,0.00429081916809082
"$w=32$, $d=5$",18.0,0.006375789642333984
"$w=32$, $d=5$",20.0,0.0071506500244140625
"$w=32$, $d=5$",14.0,0.004117012023925781
"$w=32$, $d=5$",17.0,0.005099058151245117
"$w=32$, $d=5$",18.0,0.005903720855712891
"$w=32$, $d=5$",13.0,0.004740715026855469
"$w=32$, $d=5$",13.0,0.004021883010864258
"$w=32$, $d=5$",16.0,0.005473136901855469
"$w=32$, $d=5$",16.0,0.004763126373291016
"$w=32$, $d=5$",17.0,0.007639169692993164
"$w=32$, $d=5$",15.0,0.004449129104614258
"$w=32$, $d=5$",20.0,0.007526874542236328
"$w=32$, $d=5$",13.0,0.003782987594604492
"$w=32$, $d=5$",14.0,0.005000114440917969
"$w=32$, $d=5$",17.0,0.005097866058349609
"$w=32$, $d=5$",17.0,0.005065202713012695
"$w=32$, $d=5$",17.0,0.0050733089447021484
"$w=32$, $d=5$",15.0,0.0057981014251708984
"$w=32$, $d=5$",15.0,0.005471944808959961
"$w=32$, $d=5$",19.0,0.007986068725585938
"$w=32$, $d=5$",16.0,0.009159326553344727
"$w=32$, $d=5$",14.0,0.0041599273681640625
"$w=32$, $d=5$",16.0,0.005853891372680664
"$w=32$, $d=5$",18.0,0.0055391788482666016
"$w=32$, $d=5$",16.0,0.005854129791259766
"$w=32$, $d=5$",18.0,0.006435871124267578
"$w=32$, $d=5$",16.0,0.004699230194091797
"$w=32$, $d=5$",15.0,0.004376888275146484
"$w=32$, $d=5$",17.0,0.004933834075927734
"$w=32$, $d=5$",18.0,0.010993003845214844
"$w=32$, $d=5$",17.0,0.0185239315032959
"$w=32$, $d=5$",14.0,0.004114866256713867
"$w=32$, $d=5$",15.0,0.004454851150512695
"$w=32$, $d=5$",20.0,0.010079145431518555
"$w=32$, $d=5$",16.0,0.005907297134399414
"$w=32$, $d=5$",16.0,0.004805803298950195
"$w=32$, $d=5$",17.0,0.0069980621337890625
"$w=32$, $d=5$",17.0,0.005029916763305664
"$w=32$, $d=5$",16.0,0.004641056060791016
"$w=32$, $d=5$",17.0,0.004995107650756836
"$w=32$, $d=5$",15.0,0.0045108795166015625
"$w=32$, $d=5$",13.0,0.003863096237182617
"$w=32$, $d=5$",14.0,0.006305217742919922
"$w=32$, $d=5$",16.0,0.005179882049560547
"$w=32$, $d=5$",17.0,0.005023002624511719
"$w=32$, $d=5$",19.0,0.007333993911743164
"$w=32$, $d=5$",16.0,0.004742860794067383
"$w=32$, $d=5$",17.0,0.005194187164306641
"$w=32$, $d=5$",15.0,0.004617214202880859
"$w=32$, $d=5$",15.0,0.008508920669555664
"$w=32$, $d=5$",16.0,0.00596308708190918
"$w=32$, $d=5$",19.0,0.005606174468994141
"$w=32$, $d=5$",17.0,0.0049610137939453125
"$w=32$, $d=5$",13.0,0.003824949264526367
"$w=32$, $d=5$",15.0,0.004434108734130859
"$w=32$, $d=5$",15.0,0.0062961578369140625
"$w=32$, $d=5$",16.0,0.005717039108276367
"$w=32$, $d=5$",17.0,0.004975795745849609
"$w=32$, $d=5$",17.0,0.004987955093383789
"$w=32$, $d=5$",13.0,0.0037691593170166016
"$w=32$, $d=5$",15.0,0.004615068435668945
"$w=32$, $d=5$",17.0,0.007121086120605469
"$w=32$, $d=5$",19.0,0.007266044616699219
"$w=32$, $d=5$",18.0,0.006730079650878906
"$w=32$, $d=5$",16.0,0.005415201187133789
"$w=32$, $d=5$",15.0,0.004476785659790039
"$w=32$, $d=5$",17.0,0.005014181137084961
"$w=32$, $d=5$",17.0,0.005187034606933594
"$w=32$, $d=5$",12.0,0.0048370361328125
