Method,Moves,Time
"$w=32$, $d=5$",15.0,0.03424191474914551
"$w=32$, $d=5$",16.0,0.006814002990722656
"$w=32$, $d=5$",14.0,0.006188154220581055
"$w=32$, $d=5$",17.0,0.005980253219604492
"$w=32$, $d=5$",16.0,0.0048220157623291016
"$w=32$, $d=5$",17.0,0.005007266998291016
"$w=32$, $d=5$",17.0,0.0055658817291259766
"$w=32$, $d=5$",20.0,0.0076448917388916016
"$w=32$, $d=5$",16.0,0.0058460235595703125
"$w=32$, $d=5$",20.0,0.007194995880126953
"$w=32$, $d=5$",19.0,0.006312847137451172
"$w=32$, $d=5$",18.0,0.006945133209228516
"$w=32$, $d=5$",17.0,0.005844831466674805
"$w=32$, $d=5$",16.0,0.009772062301635742
"$w=32$, $d=5$",21.0,0.009328126907348633
"$w=32$, $d=5$",15.0,0.004984140396118164
"$w=32$, $d=5$",20.0,0.006585836410522461
"$w=32$, $d=5$",15.0,0.005884885787963867
"$w=32$, $d=5$",18.0,0.006783962249755859
"$w=32$, $d=5$",16.0,0.005220174789428711
"$w=32$, $d=5$",18.0,0.0057332515716552734
"$w=32$, $d=5$",18.0,0.007491111755371094
"$w=32$, $d=5$",15.0,0.0056340694427490234
"$w=32$, $d=5$",16.0,0.0047872066497802734
"$w=32$, $d=5$",16.0,0.004789829254150391
"$w=32$, $d=5$",17.0,0.005998134613037109
"$w=32$, $d=5$",13.0,0.0039632320404052734
"$w=32$, $d=5$",18.0,0.008595943450927734
"$w=32$, $d=5$",20.0,0.008455038070678711
"$w=32$, $d=5$",13.0,0.004717111587524414
"$w=32$, $d=5$",17.0,0.006195068359375
"$w=32$, $d=5$",15.0,0.00529789924621582
"$w=32$, $d=5$",13.0,0.005120992660522461
"$w=32$, $d=5$",16.0,0.005734682083129883
"$w=32$, $d=5$",16.0,0.0053157806396484375
"$w=32$, $d=5$",17.0,0.005667209625244141
"$w=32$, $d=5$",18.0,0.007647037506103516
"$w=32$, $d=5$",16.0,0.004775047302246094
"$w=32$, $d=5$",19.0,0.006124973297119141
"$w=32$, $d=5$",15.0,0.0049250125885009766
"$w=32$, $d=5$",14.0,0.004277944564819336
"$w=32$, $d=5$",15.0,0.004624843597412109
"$w=32$, $d=5$",18.0,0.00619816780090332
"$w=32$, $d=5$",17.0,0.005831003189086914
"$w=32$, $d=5$",14.0,0.004467964172363281
"$w=32$, $d=5$",16.0,0.006371974945068359
"$w=32$, $d=5$",19.0,0.0074651241302490234
"$w=32$, $d=5$",16.0,0.005976200103759766
"$w=32$, $d=5$",14.0,0.004807949066162109
"$w=32$, $d=5$",15.0,0.004588127136230469
"$w=32$, $d=5$",18.0,0.006946086883544922
"$w=32$, $d=5$",15.0,0.00609588623046875
"$w=32$, $d=5$",20.0,0.006598949432373047
"$w=32$, $d=5$",17.0,0.0055637359619140625
"$w=32$, $d=5$",14.0,0.005351066589355469
"$w=32$, $d=5$",17.0,0.0072841644287109375
"$w=32$, $d=5$",17.0,0.005920886993408203
"$w=32$, $d=5$",18.0,0.0068359375
"$w=32$, $d=5$",14.0,0.005459785461425781
"$w=32$, $d=5$",15.0,0.00502777099609375
"$w=32$, $d=5$",17.0,0.006802797317504883
"$w=32$, $d=5$",17.0,0.007498025894165039
"$w=32$, $d=5$",17.0,0.007023811340332031
"$w=32$, $d=5$",18.0,0.0064580440521240234
"$w=32$, $d=5$",20.0,0.007292032241821289
"$w=32$, $d=5$",16.0,0.006232261657714844
"$w=32$, $d=5$",15.0,0.0054819583892822266
"$w=32$, $d=5$",16.0,0.008310794830322266
"$w=32$, $d=5$",14.0,0.004981279373168945
"$w=32$, $d=5$",15.0,0.004842042922973633
"$w=32$, $d=5$",14.0,0.004776954650878906
"$w=32$, $d=5$",15.0,0.004954814910888672
"$w=32$, $d=5$",19.0,0.005738019943237305
"$w=32$, $d=5$",16.0,0.005912065505981445
"$w=32$, $d=5$",20.0,0.007218122482299805
"$w=32$, $d=5$",15.0,0.004724979400634766
"$w=32$, $d=5$",15.0,0.0048329830169677734
"$w=32$, $d=5$",16.0,0.0047872066497802734
"$w=32$, $d=5$",18.0,0.005454063415527344
"$w=32$, $d=5$",17.0,0.0050640106201171875
"$w=32$, $d=5$",13.0,0.003912925720214844
"$w=32$, $d=5$",17.0,0.0050961971282958984
"$w=32$, $d=5$",17.0,0.006203174591064453
"$w=32$, $d=5$",17.0,0.0050389766693115234
"$w=32$, $d=5$",18.0,0.005424976348876953
"$w=32$, $d=5$",16.0,0.005475759506225586
"$w=32$, $d=5$",15.0,0.004420042037963867
"$w=32$, $d=5$",14.0,0.0042989253997802734
"$w=32$, $d=5$",18.0,0.005645036697387695
"$w=32$, $d=5$",19.0,0.006876230239868164
"$w=32$, $d=5$",18.0,0.00755620002746582
"$w=32$, $d=5$",19.0,0.006330728530883789
"$w=32$, $d=5$",16.0,0.0058171749114990234
"$w=32$, $d=5$",18.0,0.009202957153320312
"$w=32$, $d=5$",17.0,0.005296230316162109
"$w=32$, $d=5$",13.0,0.003895998001098633
"$w=32$, $d=5$",17.0,0.0051839351654052734
"$w=32$, $d=5$",15.0,0.007600307464599609
"$w=32$, $d=5$",14.0,0.005278110504150391
"$w=32$, $d=5$",17.0,0.006758928298950195
"$w=32$, $d=5$",14.0,0.005646228790283203
"$w=32$, $d=5$",16.0,0.0059049129486083984
"$w=32$, $d=5$",17.0,0.005575895309448242
"$w=32$, $d=5$",20.0,0.006634950637817383
"$w=32$, $d=5$",16.0,0.004971027374267578
"$w=32$, $d=5$",17.0,0.005017757415771484
"$w=32$, $d=5$",17.0,0.006063222885131836
"$w=32$, $d=5$",14.0,0.005148887634277344
"$w=32$, $d=5$",16.0,0.0048198699951171875
"$w=32$, $d=5$",17.0,0.004992008209228516
"$w=32$, $d=5$",16.0,0.004878997802734375
"$w=32$, $d=5$",20.0,0.006579875946044922
"$w=32$, $d=5$",17.0,0.005365133285522461
"$w=32$, $d=5$",17.0,0.005347728729248047
"$w=32$, $d=5$",18.0,0.0055730342864990234
"$w=32$, $d=5$",16.0,0.006306171417236328
"$w=32$, $d=5$",16.0,0.005828857421875
