Method,Moves,Time
"$w=32$, $d=5$",14.0,0.13427186012268066
"$w=32$, $d=5$",14.0,0.05939817428588867
"$w=32$, $d=5$",14.0,0.1091771125793457
"$w=32$, $d=5$",16.0,0.09135627746582031
"$w=32$, $d=5$",16.0,0.08851909637451172
"$w=32$, $d=5$",15.0,0.10875201225280762
"$w=32$, $d=5$",15.0,0.08156299591064453
"$w=32$, $d=5$",17.0,0.10191202163696289
"$w=32$, $d=5$",15.0,0.06835317611694336
"$w=32$, $d=5$",17.0,0.10044097900390625
"$w=32$, $d=5$",18.0,0.12047004699707031
"$w=32$, $d=5$",17.0,0.12245798110961914
"$w=32$, $d=5$",15.0,0.07579803466796875
"$w=32$, $d=5$",15.0,0.08730697631835938
"$w=32$, $d=5$",16.0,0.10250592231750488
"$w=32$, $d=5$",14.0,0.06418395042419434
"$w=32$, $d=5$",19.0,0.1265711784362793
"$w=32$, $d=5$",14.0,0.10005784034729004
"$w=32$, $d=5$",15.0,0.10536599159240723
"$w=32$, $d=5$",15.0,0.12182807922363281
"$w=32$, $d=5$",13.0,0.0870509147644043
"$w=32$, $d=5$",16.0,0.10434508323669434
"$w=32$, $d=5$",18.0,0.13255095481872559
"$w=32$, $d=5$",17.0,0.1357572078704834
"$w=32$, $d=5$",15.0,0.05193805694580078
"$w=32$, $d=5$",17.0,0.09332680702209473
"$w=32$, $d=5$",13.0,0.061937808990478516
"$w=32$, $d=5$",15.0,0.08871293067932129
"$w=32$, $d=5$",17.0,0.10193014144897461
"$w=32$, $d=5$",13.0,0.055297136306762695
"$w=32$, $d=5$",16.0,0.09932708740234375
"$w=32$, $d=5$",16.0,0.09623074531555176
"$w=32$, $d=5$",15.0,0.07349801063537598
"$w=32$, $d=5$",12.0,0.055544137954711914
"$w=32$, $d=5$",15.0,0.09497189521789551
"$w=32$, $d=5$",16.0,0.08175110816955566
"$w=32$, $d=5$",16.0,0.08688688278198242
"$w=32$, $d=5$",15.0,0.08194208145141602
"$w=32$, $d=5$",18.0,0.10002923011779785
"$w=32$, $d=5$",12.0,0.04856395721435547
"$w=32$, $d=5$",15.0,0.057977914810180664
"$w=32$, $d=5$",15.0,0.08526802062988281
"$w=32$, $d=5$",18.0,0.12135004997253418
"$w=32$, $d=5$",16.0,0.11102104187011719
"$w=32$, $d=5$",13.0,0.06454205513000488
"$w=32$, $d=5$",15.0,0.07583498954772949
"$w=32$, $d=5$",19.0,0.10662293434143066
"$w=32$, $d=5$",19.0,0.11856412887573242
"$w=32$, $d=5$",15.0,0.09183597564697266
"$w=32$, $d=5$",17.0,0.11888599395751953
"$w=32$, $d=5$",19.0,0.12177801132202148
"$w=32$, $d=5$",14.0,0.07067704200744629
"$w=32$, $d=5$",15.0,0.08100199699401855
"$w=32$, $d=5$",16.0,0.0707550048828125
"$w=32$, $d=5$",15.0,0.07137084007263184
"$w=32$, $d=5$",18.0,0.26213502883911133
"$w=32$, $d=5$",20.0,0.20648980140686035
"$w=32$, $d=5$",16.0,0.09347295761108398
"$w=32$, $d=5$",15.0,0.06948709487915039
"$w=32$, $d=5$",13.0,0.08452200889587402
"$w=32$, $d=5$",19.0,0.11193704605102539
"$w=32$, $d=5$",16.0,0.07464981079101562
"$w=32$, $d=5$",21.0,0.08116292953491211
"$w=32$, $d=5$",16.0,0.07782387733459473
"$w=32$, $d=5$",17.0,0.09215903282165527
"$w=32$, $d=5$",14.0,0.08214497566223145
"$w=32$, $d=5$",16.0,0.08049631118774414
"$w=32$, $d=5$",14.0,0.12656116485595703
"$w=32$, $d=5$",15.0,0.1489861011505127
"$w=32$, $d=5$",14.0,0.09528875350952148
"$w=32$, $d=5$",14.0,0.08300495147705078
"$w=32$, $d=5$",18.0,0.11104702949523926
"$w=32$, $d=5$",18.0,0.1298508644104004
"$w=32$, $d=5$",14.0,0.06966567039489746
"$w=32$, $d=5$",20.0,0.11706209182739258
"$w=32$, $d=5$",14.0,0.06958222389221191
"$w=32$, $d=5$",15.0,0.0715479850769043
"$w=32$, $d=5$",18.0,0.10793304443359375
"$w=32$, $d=5$",17.0,0.09478473663330078
"$w=32$, $d=5$",17.0,0.12210321426391602
"$w=32$, $d=5$",13.0,0.05598306655883789
