number,value,datetime_start,datetime_complete,duration,params_bs,params_lr,params_wd,state
0,-0.51136,2025-05-14 01:08:17.260221,2025-05-14 01:55:56.371411,0 days 00:47:39.111190,64,4.8364572316686406e-05,3.6500547160023134e-05,COMPLETE
1,-0.55921,2025-05-14 01:08:17.278859,2025-05-14 02:23:53.526333,0 days 01:15:36.247474,32,0.00017875880206356387,1.6797703229376195e-05,COMPLETE
2,-0.496135,2025-05-14 01:55:56.690216,2025-05-14 02:26:45.000612,0 days 00:30:48.310396,128,4.835399371962565e-05,1.0446141735189972e-06,COMPLETE
3,-0.535565,2025-05-14 02:23:53.780729,2025-05-14 03:35:31.683681,0 days 01:11:37.902952,32,5.4371469836588585e-05,1.2682723189370596e-06,COMPLETE
4,-0.570895,2025-05-14 02:26:45.126379,2025-05-14 02:50:10.197668,0 days 00:23:25.071289,256,0.0012614308912008527,5.452162563719877e-05,COMPLETE
5,-0.575805,2025-05-14 02:50:10.363150,2025-05-14 03:13:29.625955,0 days 00:23:19.262805,256,0.0015849577402513868,2.93104178187066e-06,COMPLETE
6,-0.565665,2025-05-14 03:13:29.868109,2025-05-14 03:43:27.125628,0 days 00:29:57.257519,128,0.000397038004011559,9.801002136740093e-06,COMPLETE
7,-0.57804,2025-05-14 03:35:31.976041,2025-05-14 03:57:54.181226,0 days 00:22:22.205185,256,0.002552495218829733,7.12206337068647e-06,COMPLETE
8,-0.523125,2025-05-14 03:43:27.248730,2025-05-14 04:26:20.526583,0 days 00:42:53.277853,64,6.058747653760036e-05,3.9325507798266556e-06,COMPLETE
9,-0.506155,2025-05-14 03:57:54.315385,2025-05-14 04:20:36.942256,0 days 00:22:42.626871,256,0.00957087938757146,0.00019491141291988568,COMPLETE
10,-0.56578,2025-05-14 04:20:37.114687,2025-05-14 05:03:41.291832,0 days 00:43:04.177145,64,0.0007335055591555956,0.00010603683009582785,COMPLETE
11,-0.48426,2025-05-14 04:26:20.671369,2025-05-14 04:48:56.884871,0 days 00:22:36.213502,256,0.0075484901783369135,0.0005975084773802732,COMPLETE
12,-0.579655,2025-05-14 04:48:57.041120,2025-05-14 05:11:05.376532,0 days 00:22:08.335412,256,0.0017870793879588508,4.60391245477133e-06,COMPLETE
13,-0.578025,2025-05-14 05:03:41.421069,2025-05-14 05:24:47.776127,0 days 00:21:06.355058,256,0.0022503486717696183,4.127433146016344e-06,COMPLETE
14,-0.57933,2025-05-14 05:11:05.477896,2025-05-14 05:32:08.254455,0 days 00:21:02.776559,256,0.0028053840263726213,6.473431732752299e-06,COMPLETE
15,-0.57326,2025-05-14 05:24:48.164446,2025-05-14 05:45:57.920803,0 days 00:21:09.756357,256,0.003813993500943363,1.3057008095378645e-05,COMPLETE
16,-0.328735,2025-05-14 05:32:08.406431,2025-05-14 05:53:12.329660,0 days 00:21:03.923229,256,1.0364110025274196e-05,1.822963402787155e-05,COMPLETE
17,-0.37368,2025-05-14 05:45:58.053580,2025-05-14 06:07:32.914073,0 days 00:21:34.860493,256,1.5327305062204882e-05,2.2706088570830657e-06,COMPLETE
18,-0.569585,2025-05-14 05:53:12.432174,2025-05-14 06:21:35.175475,0 days 00:28:22.743301,128,0.0006224328285361092,2.123236743295076e-06,COMPLETE
19,-0.5728,2025-05-14 06:07:33.033377,2025-05-14 06:37:33.545984,0 days 00:30:00.512607,128,0.0006258872608618983,6.228018320529553e-06,COMPLETE
20,-0.56736,2025-05-14 06:21:35.513926,2025-05-14 07:38:21.895700,0 days 01:16:46.381774,32,0.004191855308001478,6.291192627821519e-06,COMPLETE
21,-0.560295,2025-05-14 06:37:33.725803,2025-05-14 07:54:19.469558,0 days 01:16:45.743755,32,0.00018959093902576722,2.942274414790751e-05,COMPLETE
22,-0.57503,2025-05-14 07:38:22.270389,2025-05-14 08:00:54.422936,0 days 00:22:32.152547,256,0.0029577548662552866,8.308970666475665e-06,COMPLETE
23,-0.58,2025-05-14 07:54:19.635850,2025-05-14 08:15:27.616747,0 days 00:21:07.980897,256,0.0038168598468430706,7.956654490821312e-06,COMPLETE
24,-0.57215,2025-05-14 08:00:54.534744,2025-05-14 08:21:56.268039,0 days 00:21:01.733295,256,0.0013017423441007998,5.608314211614671e-06,COMPLETE
25,-0.57053,2025-05-14 08:15:27.735745,2025-05-14 08:36:38.144009,0 days 00:21:10.408264,256,0.0067015042664468685,1.919361666578291e-05,COMPLETE
26,-0.568055,2025-05-14 08:21:56.383872,2025-05-14 08:43:00.707770,0 days 00:21:04.323898,256,0.0062683082818775415,2.5242247472367597e-05,COMPLETE
27,-0.58217,2025-05-14 08:36:38.418053,2025-05-14 08:57:49.412838,0 days 00:21:10.994785,256,0.004918903850482683,1.7826035985510085e-06,COMPLETE
28,-0.56907,2025-05-14 08:43:00.867226,2025-05-14 09:04:38.426126,0 days 00:21:37.558900,256,0.001779398506359237,6.555033596238565e-05,COMPLETE
29,-0.57663,2025-05-14 08:57:49.552518,2025-05-14 09:43:05.177838,0 days 00:45:15.625320,64,0.004877202505216521,1.917575963424628e-06,COMPLETE
30,-0.580885,2025-05-14 09:04:38.592604,2025-05-14 09:50:06.403015,0 days 00:45:27.810411,64,0.004831196331006351,1.556434768371181e-06,COMPLETE
31,-0.5779,2025-05-14 09:43:05.496240,2025-05-14 10:28:43.887094,0 days 00:45:38.390854,64,0.0009301269945575474,1.5869725225334417e-06,COMPLETE
32,-0.57372,2025-05-14 09:50:06.705761,2025-05-14 10:35:33.174785,0 days 00:45:26.469024,64,0.000926036269751061,1.4681032847394314e-06,COMPLETE
33,-0.560945,2025-05-14 10:28:44.551453,2025-05-14 11:14:25.809125,0 days 00:45:41.257672,64,0.009572982535621197,3.3203609120206605e-06,COMPLETE
34,-0.579665,2025-05-14 10:35:33.292541,2025-05-14 11:20:58.751233,0 days 00:45:25.458692,64,0.004927926251376803,2.795896464028465e-06,COMPLETE
35,-0.581685,2025-05-14 11:14:26.455607,2025-05-14 11:59:59.553560,0 days 00:45:33.097953,64,0.004508162476507324,1.0123741978983262e-06,COMPLETE
36,-0.583225,2025-05-14 11:20:58.873689,2025-05-14 12:06:17.939193,0 days 00:45:19.065504,64,0.004373605723871367,1.1179260962983046e-06,COMPLETE
37,-0.580055,2025-05-14 12:00:00.113036,2025-05-14 12:45:36.062157,0 days 00:45:35.949121,64,0.003451030038711759,1.0079013500937627e-06,COMPLETE
38,-0.570175,2025-05-14 12:06:18.071259,2025-05-14 12:51:41.548661,0 days 00:45:23.477402,64,0.00041629110894853216,1.0634805669079768e-06,COMPLETE
39,-0.566165,2025-05-14 12:45:36.554966,2025-05-14 13:31:12.904203,0 days 00:45:36.349237,64,0.00042280482986400606,1.3395946181324709e-06,COMPLETE
40,-0.54611,2025-05-14 12:51:41.771011,2025-05-14 13:37:05.594838,0 days 00:45:23.823827,64,0.00011410873949727656,1.4438282905392446e-06,COMPLETE
41,-0.539425,2025-05-14 13:31:13.400112,2025-05-14 14:16:52.701991,0 days 00:45:39.301879,64,0.00010342667789933101,1.8537085244853966e-06,COMPLETE
42,-0.581745,2025-05-14 13:37:05.708740,2025-05-14 14:22:31.965850,0 days 00:45:26.257110,64,0.006122266064857503,1.0439068791178167e-06,COMPLETE
43,-0.579925,2025-05-14 14:16:53.675249,2025-05-14 15:02:38.997806,0 days 00:45:45.322557,64,0.0056522912835749286,1.0775160430002926e-06,COMPLETE
44,-0.576665,2025-05-14 14:22:32.126404,2025-05-14 15:08:03.190649,0 days 00:45:31.064245,64,0.005467363290002644,2.6617883866672473e-06,COMPLETE
45,-0.565105,2025-05-14 15:02:40.254040,2025-05-14 15:49:39.919507,0 days 00:46:59.665467,64,0.008119908770790345,2.6914875480460364e-06,COMPLETE
46,-0.5543,2025-05-14 15:08:03.306858,2025-05-14 16:24:33.426791,0 days 01:16:30.119933,32,0.009901436299438135,1.8040244707973964e-06,COMPLETE
47,-0.58026,2025-05-14 15:49:40.689584,2025-05-14 17:05:10.487767,0 days 01:15:29.798183,32,0.0021703437766811833,1.7670033130358772e-06,COMPLETE
48,-0.55707,2025-05-14 16:24:34.365896,2025-05-14 16:55:28.940121,0 days 00:30:54.574225,128,0.0015917379221254105,0.00033947480769862395,COMPLETE
49,,2025-05-14 16:55:29.642121,,,64,0.002303472662066014,1.3491303758083251e-06,RUNNING
