number,value,datetime_start,datetime_complete,duration,params_bs,params_lr,params_wd,state
0,0.4703347115516663,2025-05-13 12:37:01.092300,2025-05-13 12:48:43.567130,0 days 00:11:42.474830,256,0.0012223640157781376,0.0001797838279374623,COMPLETE
1,0.5915806189537048,2025-05-13 12:37:01.095102,2025-05-13 12:51:22.296432,0 days 00:14:21.201330,128,3.0316481618716444e-05,0.0004370752455654909,COMPLETE
2,0.5262049503743649,2025-05-13 12:48:48.258828,2025-05-13 13:19:21.500819,0 days 00:30:33.241991,32,0.0020402658641847198,2.443700561301153e-05,COMPLETE
3,0.5018720405006408,2025-05-13 12:51:22.445755,2025-05-13 13:03:20.486042,0 days 00:11:58.040287,256,0.006315972663744784,1.9818190040985766e-06,COMPLETE
4,0.5056442914485931,2025-05-13 13:03:20.607226,2025-05-13 13:15:18.434774,0 days 00:11:57.827548,256,0.00015333793366493036,1.5142708483412734e-06,COMPLETE
5,0.510483535823822,2025-05-13 13:15:18.580537,2025-05-13 13:30:10.170913,0 days 00:14:51.590376,128,0.0009785073580365498,0.00021769804305271005,COMPLETE
6,0.7950255171346664,2025-05-13 13:19:21.592212,2025-05-13 13:49:50.698145,0 days 00:30:29.105933,32,0.006837339112288624,1.0977492600863608e-05,COMPLETE
7,0.7921622623443604,2025-05-13 13:30:10.301475,2025-05-13 13:44:57.495054,0 days 00:14:47.193579,128,0.005097428761024149,0.00010562927869351946,COMPLETE
8,0.49245729063034055,2025-05-13 13:44:57.644277,2025-05-13 13:58:53.249886,0 days 00:13:55.605609,128,0.000446885279273696,1.981228711948369e-06,COMPLETE
9,0.6311303954696655,2025-05-13 13:49:50.833394,2025-05-13 14:03:35.075063,0 days 00:13:44.241669,128,2.5887748549455332e-05,2.4753472003430703e-06,COMPLETE
10,0.46318115045547487,2025-05-13 13:58:53.468682,2025-05-13 14:12:58.097837,0 days 00:14:04.629155,128,0.0013112039812642334,5.3845155582405415e-05,COMPLETE
11,0.5450396435213088,2025-05-13 14:03:35.186825,2025-05-13 14:22:43.302380,0 days 00:19:08.115555,64,0.00012765812676490413,7.730609812160495e-05,COMPLETE
12,0.4686363358974457,2025-05-13 14:12:58.213899,2025-05-13 14:31:48.591267,0 days 00:18:50.377368,64,0.0001691077813646524,7.150385897595715e-05,COMPLETE
13,0.507656664981842,2025-05-13 14:22:43.424734,2025-05-13 14:34:09.824980,0 days 00:11:26.400246,256,0.001294307986092217,0.0006927812667775591,COMPLETE
14,0.49181769821166993,2025-05-13 14:31:48.669221,2025-05-13 14:51:04.703883,0 days 00:19:16.034662,64,9.420211860739503e-05,3.124125099403547e-05,COMPLETE
15,0.4704616770553589,2025-05-13 14:34:09.912715,2025-05-13 14:53:39.475697,0 days 00:19:29.562982,64,0.00012008601702679167,2.8689027306970737e-05,COMPLETE
16,0.46254368758201597,2025-05-13 14:51:04.844973,2025-05-13 15:10:30.648119,0 days 00:19:25.803146,64,0.0003755775091174227,6.659679660044308e-06,COMPLETE
17,0.4635273991584778,2025-05-13 14:53:39.603736,2025-05-13 15:13:11.843087,0 days 00:19:32.239351,64,0.0003199165098221487,1.0179570796830907e-05,COMPLETE
18,0.4408716527032852,2025-05-13 15:10:30.926573,2025-05-13 15:30:24.350700,0 days 00:19:53.424127,64,0.00044916051996408144,6.638624789963775e-06,COMPLETE
19,0.6401725343561172,2025-05-13 15:13:11.919334,2025-05-13 15:43:48.111075,0 days 00:30:36.191741,32,1.1302247347624465e-05,5.887996540574966e-06,COMPLETE
20,0.5235906181526184,2025-05-13 15:30:24.486288,2025-05-13 15:50:08.512314,0 days 00:19:44.026026,64,5.619023010027255e-05,5.2334489230881e-06,COMPLETE
21,0.4500712215900421,2025-05-13 15:43:48.240262,2025-05-13 16:03:22.041092,0 days 00:19:33.800830,64,0.0005626939211136801,5.03128981148311e-06,COMPLETE
22,0.4591459522342682,2025-05-13 15:50:08.639910,2025-05-13 16:09:36.871279,0 days 00:19:28.231369,64,0.0005775430125156964,1.4071000236125855e-05,COMPLETE
23,0.4615948075819015,2025-05-13 16:03:22.254482,2025-05-13 16:22:56.218084,0 days 00:19:33.963602,64,0.00047529804692265996,4.815455176672252e-06,COMPLETE
24,0.47171297177791593,2025-05-13 16:09:36.976228,2025-05-13 16:29:04.223674,0 days 00:19:27.247446,64,0.0005436649240233328,1.5841503853123797e-05,COMPLETE
25,0.4494874517917633,2025-05-13 16:22:56.635106,2025-05-13 16:42:27.677045,0 days 00:19:31.041939,64,0.0007523992054242153,1.4387525382634958e-05,COMPLETE
26,0.4607878797531128,2025-05-13 16:29:04.328071,2025-05-13 16:48:34.831191,0 days 00:19:30.503120,64,0.0025272050607293415,3.337726382823489e-06,COMPLETE
27,0.4594593459320068,2025-05-13 16:42:27.799923,2025-05-13 17:02:05.917773,0 days 00:19:38.117850,64,0.003047892944486753,3.4694440661734183e-06,COMPLETE
28,0.5008962351846695,2025-05-13 16:48:34.932970,2025-05-13 17:07:59.553675,0 days 00:19:24.620705,64,0.0002372201041109521,1.0695194789523147e-06,COMPLETE
29,0.4548261510801315,2025-05-13 17:02:06.045781,2025-05-13 17:21:37.352231,0 days 00:19:31.306450,64,0.00020380338753191052,1.1526680234438719e-06,COMPLETE
30,0.457285175242424,2025-05-13 17:07:59.658885,2025-05-13 17:27:08.511950,0 days 00:19:08.853065,64,0.0007817918761344662,8.813418909927729e-06,COMPLETE
31,0.4485100351715088,2025-05-13 17:21:37.504866,2025-05-13 17:33:05.383125,0 days 00:11:27.878259,256,0.0008478512694056071,8.473510212641558e-06,COMPLETE
32,0.4689612169647217,2025-05-13 17:27:08.593803,2025-05-13 17:45:34.305963,0 days 00:18:25.712160,64,0.00022806810435255562,1.0958652850856394e-06,COMPLETE
33,0.48986574091911317,2025-05-13 17:33:05.586686,2025-05-13 17:44:34.110069,0 days 00:11:28.523383,256,0.0007861583243526143,1.8932970144207066e-05,COMPLETE
34,0.45197497537612913,2025-05-13 17:44:34.203159,2025-05-13 17:55:26.804990,0 days 00:10:52.601831,256,0.0016707226102806807,7.707672544886408e-06,COMPLETE
35,0.5530880568218232,2025-05-13 17:45:34.392898,2025-05-13 17:56:20.283296,0 days 00:10:45.890398,256,0.0015633529211007049,7.986506643673381e-06,COMPLETE
36,0.508168947353363,2025-05-13 17:55:26.873745,2025-05-13 18:07:14.317896,0 days 00:11:47.444151,256,0.004161836778567229,2.038897360460102e-05,COMPLETE
37,0.46691233071208,2025-05-13 17:56:20.362584,2025-05-13 18:26:55.419398,0 days 00:30:35.056814,32,0.0008250882602382092,3.4804289725954525e-06,COMPLETE
38,0.4774562285196781,2025-05-13 18:07:14.441018,2025-05-13 18:37:52.766815,0 days 00:30:38.325797,32,0.0009042852882033106,1.3229906348699373e-05,COMPLETE
39,0.47673824729919434,2025-05-13 18:26:55.560987,2025-05-13 18:38:35.876218,0 days 00:11:40.315231,256,0.0003168510257649285,1.2255459350577243e-05,COMPLETE
40,0.4823074874687195,2025-05-13 18:37:53.045736,2025-05-13 18:48:41.395066,0 days 00:10:48.349330,256,0.000289197062036693,3.61174140908964e-05,COMPLETE
41,0.5810036514854431,2025-05-13 18:38:36.007408,2025-05-13 18:49:23.127102,0 days 00:10:47.119694,256,0.009670009167969526,4.738199148902209e-05,COMPLETE
42,0.4593574680328369,2025-05-13 18:48:41.485963,2025-05-13 18:59:26.141599,0 days 00:10:44.655636,256,0.0018767428903592109,4.289969639955086e-06,COMPLETE
43,0.4596322420501709,2025-05-13 18:49:23.222545,2025-05-13 19:00:05.674276,0 days 00:10:42.451731,256,0.0018493974813562253,4.62508540541217e-06,COMPLETE
44,0.4686727237129211,2025-05-13 18:59:26.211378,2025-05-13 19:10:11.827906,0 days 00:10:45.616528,256,0.0006383300657957245,2.1250498637341435e-06,COMPLETE
45,0.46732238092422484,2025-05-13 19:00:05.748361,2025-05-13 19:10:48.564183,0 days 00:10:42.815822,256,0.0010649707085339357,2.5440640104131022e-06,COMPLETE
46,0.45348346967697145,2025-05-13 19:10:11.906151,2025-05-13 19:23:54.005073,0 days 00:13:42.098922,128,0.0010714067891466731,8.55559528576495e-06,COMPLETE
47,0.4641541387176514,2025-05-13 19:10:48.633234,2025-05-13 19:24:30.785569,0 days 00:13:42.152335,128,0.0030309601539699037,8.243411261518497e-06,COMPLETE
48,0.4955714367747307,2025-05-13 19:23:54.081339,2025-05-13 19:55:26.163695,0 days 00:31:32.082356,32,0.002940543074488306,7.479580725297039e-06,COMPLETE
49,0.4811522361254692,2025-05-13 19:24:30.865177,2025-05-13 19:55:41.285662,0 days 00:31:10.420485,32,0.0014032850125172934,2.3246838722654795e-05,COMPLETE
