Method,Moves,Time
"$\pi_{\theta,(64,10)}$",14.0,0.08550810813903809
"$\pi_{\theta,(64,10)}$",14.0,0.011229991912841797
"$\pi_{\theta,(64,10)}$",15.0,0.016122102737426758
"$\pi_{\theta,(64,10)}$",17.0,0.013077020645141602
"$\pi_{\theta,(64,10)}$",17.0,0.010271072387695312
"$\pi_{\theta,(64,10)}$",15.0,0.009525060653686523
"$\pi_{\theta,(64,10)}$",17.0,0.018949031829833984
"$\pi_{\theta,(64,10)}$",18.0,0.01194906234741211
"$\pi_{\theta,(64,10)}$",15.0,0.009207010269165039
"$\pi_{\theta,(64,10)}$",16.0,0.010443925857543945
"$\pi_{\theta,(64,10)}$",18.0,0.011255025863647461
"$\pi_{\theta,(64,10)}$",19.0,0.011819839477539062
"$\pi_{\theta,(64,10)}$",16.0,0.00959014892578125
"$\pi_{\theta,(64,10)}$",14.0,0.008607149124145508
"$\pi_{\theta,(64,10)}$",16.0,0.010564088821411133
"$\pi_{\theta,(64,10)}$",14.0,0.009094953536987305
"$\pi_{\theta,(64,10)}$",18.0,0.012510299682617188
"$\pi_{\theta,(64,10)}$",14.0,0.008830070495605469
"$\pi_{\theta,(64,10)}$",17.0,0.010769844055175781
"$\pi_{\theta,(64,10)}$",15.0,0.009686946868896484
"$\pi_{\theta,(64,10)}$",15.0,0.01062917709350586
"$\pi_{\theta,(64,10)}$",17.0,0.012814044952392578
"$\pi_{\theta,(64,10)}$",16.0,0.013251066207885742
"$\pi_{\theta,(64,10)}$",16.0,0.01349782943725586
"$\pi_{\theta,(64,10)}$",15.0,0.01121377944946289
"$\pi_{\theta,(64,10)}$",15.0,0.010998010635375977
"$\pi_{\theta,(64,10)}$",15.0,0.01238107681274414
"$\pi_{\theta,(64,10)}$",18.0,0.014684915542602539
"$\pi_{\theta,(64,10)}$",17.0,0.010770320892333984
"$\pi_{\theta,(64,10)}$",12.0,0.009568929672241211
"$\pi_{\theta,(64,10)}$",17.0,0.011960983276367188
"$\pi_{\theta,(64,10)}$",16.0,0.010509729385375977
"$\pi_{\theta,(64,10)}$",14.0,0.008411169052124023
"$\pi_{\theta,(64,10)}$",16.0,0.012215137481689453
"$\pi_{\theta,(64,10)}$",17.0,0.012824058532714844
"$\pi_{\theta,(64,10)}$",17.0,0.01186680793762207
"$\pi_{\theta,(64,10)}$",17.0,0.012871026992797852
"$\pi_{\theta,(64,10)}$",15.0,0.01052093505859375
"$\pi_{\theta,(64,10)}$",15.0,0.009266138076782227
"$\pi_{\theta,(64,10)}$",14.0,0.009743928909301758
"$\pi_{\theta,(64,10)}$",13.0,0.009317159652709961
"$\pi_{\theta,(64,10)}$",15.0,0.011350154876708984
"$\pi_{\theta,(64,10)}$",16.0,0.010417938232421875
"$\pi_{\theta,(64,10)}$",16.0,0.02753305435180664
"$\pi_{\theta,(64,10)}$",16.0,0.010371208190917969
"$\pi_{\theta,(64,10)}$",15.0,0.012740135192871094
"$\pi_{\theta,(64,10)}$",17.0,0.011026859283447266
"$\pi_{\theta,(64,10)}$",16.0,0.011564970016479492
"$\pi_{\theta,(64,10)}$",14.0,0.008970975875854492
"$\pi_{\theta,(64,10)}$",16.0,0.011657238006591797
"$\pi_{\theta,(64,10)}$",17.0,0.010809183120727539
"$\pi_{\theta,(64,10)}$",16.0,0.010765790939331055
"$\pi_{\theta,(64,10)}$",18.0,0.012086153030395508
"$\pi_{\theta,(64,10)}$",14.0,0.009308815002441406
"$\pi_{\theta,(64,10)}$",14.0,0.011520862579345703
"$\pi_{\theta,(64,10)}$",19.0,0.013881206512451172
"$\pi_{\theta,(64,10)}$",18.0,0.013676881790161133
"$\pi_{\theta,(64,10)}$",18.0,0.013160228729248047
"$\pi_{\theta,(64,10)}$",13.0,0.008236169815063477
"$\pi_{\theta,(64,10)}$",14.0,0.009840726852416992
"$\pi_{\theta,(64,10)}$",18.0,0.013020038604736328
"$\pi_{\theta,(64,10)}$",17.0,0.011365890502929688
"$\pi_{\theta,(64,10)}$",15.0,0.010602235794067383
"$\pi_{\theta,(64,10)}$",15.0,0.009941577911376953
"$\pi_{\theta,(64,10)}$",16.0,0.01143193244934082
"$\pi_{\theta,(64,10)}$",15.0,0.009317874908447266
"$\pi_{\theta,(64,10)}$",16.0,0.013237953186035156
"$\pi_{\theta,(64,10)}$",15.0,0.011493921279907227
"$\pi_{\theta,(64,10)}$",16.0,0.012091875076293945
"$\pi_{\theta,(64,10)}$",13.0,0.009390830993652344
"$\pi_{\theta,(64,10)}$",13.0,0.009774923324584961
"$\pi_{\theta,(64,10)}$",16.0,0.012605905532836914
"$\pi_{\theta,(64,10)}$",16.0,0.012356042861938477
"$\pi_{\theta,(64,10)}$",16.0,0.010279178619384766
"$\pi_{\theta,(64,10)}$",18.0,0.012941122055053711
"$\pi_{\theta,(64,10)}$",15.0,0.01031494140625
"$\pi_{\theta,(64,10)}$",14.0,0.00969386100769043
"$\pi_{\theta,(64,10)}$",15.0,0.011269330978393555
"$\pi_{\theta,(64,10)}$",19.0,0.013033866882324219
"$\pi_{\theta,(64,10)}$",16.0,0.017138957977294922
"$\pi_{\theta,(64,10)}$",12.0,0.008026123046875
"$\pi_{\theta,(64,10)}$",14.0,0.009629249572753906
"$\pi_{\theta,(64,10)}$",14.0,0.009212017059326172
"$\pi_{\theta,(64,10)}$",15.0,0.009671211242675781
"$\pi_{\theta,(64,10)}$",16.0,0.010431051254272461
"$\pi_{\theta,(64,10)}$",15.0,0.009352922439575195
"$\pi_{\theta,(64,10)}$",13.0,0.009881973266601562
"$\pi_{\theta,(64,10)}$",14.0,0.009531974792480469
