method,board,time,moves,beam_width
1lookahead,0,0.0199458599090576,17.0,1
1lookahead,1,0.0078179836273193,17.0,1
1lookahead,2,0.009598970413208,20.0,1
1lookahead,3,0.0110669136047363,20.0,1
1lookahead,4,0.0067279338836669,14.0,1
1lookahead,5,0.0076880455017089,15.0,1
1lookahead,6,0.0076129436492919,16.0,1
1lookahead,7,0.0104932785034179,17.0,1
1lookahead,8,0.0077712535858154,18.0,1
1lookahead,9,0.0070319175720214,17.0,1
1lookahead,10,0.0126879215240478,22.0,1
1lookahead,11,0.0080199241638183,15.0,1
1lookahead,12,0.0101468563079833,20.0,1
1lookahead,13,0.0123319625854492,21.0,1
1lookahead,14,0.0126168727874755,21.0,1
1lookahead,15,0.0062179565429687,14.0,1
1lookahead,16,0.0090129375457763,19.0,1
1lookahead,17,0.0083470344543457,17.0,1
1lookahead,18,0.008519172668457,18.0,1
1lookahead,19,0.013740062713623,22.0,1
1lookahead,20,0.0131540298461914,16.0,1
1lookahead,21,0.01031494140625,19.0,1
1lookahead,22,0.0121059417724609,21.0,1
1lookahead,23,0.0073521137237548,18.0,1
1lookahead,24,0.009523868560791,18.0,1
1lookahead,25,0.0079600811004638,18.0,1
1lookahead,26,0.011322021484375,21.0,1
1lookahead,27,0.0133280754089355,24.0,1
1lookahead,28,0.0094609260559082,16.0,1
1lookahead,29,0.010617971420288,20.0,1
1lookahead,30,0.0072450637817382,17.0,1
1lookahead,31,0.0087110996246337,16.0,1
1lookahead,32,0.0113592147827148,19.0,1
1lookahead,33,0.0094091892242431,18.0,1
1lookahead,34,0.0130157470703125,23.0,1
1lookahead,35,0.0109980106353759,21.0,1
1lookahead,36,0.0080077648162841,17.0,1
1lookahead,37,0.0166258811950683,26.0,1
1lookahead,38,0.0112500190734863,20.0,1
1lookahead,39,0.0084049701690673,14.0,1
1lookahead,40,0.0094337463378906,18.0,1
1lookahead,41,0.0069608688354492,14.0,1
1lookahead,42,0.0079240798950195,18.0,1
1lookahead,43,0.0090320110321044,16.0,1
1lookahead,44,0.006542682647705,14.0,1
1lookahead,45,0.0097630023956298,17.0,1
1lookahead,46,0.0111408233642578,20.0,1
1lookahead,47,0.0121529102325439,20.0,1
1lookahead,48,0.0090210437774658,17.0,1
1lookahead,49,0.0093750953674316,16.0,1
1lookahead,50,0.0088918209075927,17.0,1
1lookahead,51,0.0134289264678955,24.0,1
1lookahead,52,0.0069639682769775,16.0,1
1lookahead,53,0.0096480846405029,20.0,1
1lookahead,54,0.0138890743255615,22.0,1
1lookahead,55,0.0138971805572509,24.0,1
1lookahead,56,0.0124258995056152,21.0,1
1lookahead,57,0.015334129333496,21.0,1
1lookahead,58,0.007800817489624,17.0,1
1lookahead,59,0.008080244064331,16.0,1
1lookahead,60,0.0077838897705078,17.0,1
1lookahead,61,0.0105400085449218,20.0,1
1lookahead,62,0.0090911388397216,17.0,1
1lookahead,63,0.010930061340332,16.0,1
1lookahead,64,0.012829303741455,21.0,1
1lookahead,65,0.0141909122467041,22.0,1
1lookahead,66,0.0058910846710205,14.0,1
1lookahead,67,0.0083692073822021,18.0,1
1lookahead,68,0.0108232498168945,19.0,1
1lookahead,69,0.008364200592041,18.0,1
1lookahead,70,0.0115299224853515,19.0,1
1lookahead,71,0.0134499073028564,22.0,1
1lookahead,72,0.013355016708374,22.0,1
1lookahead,73,0.0088520050048828,16.0,1
1lookahead,74,0.008195161819458,19.0,1
1lookahead,75,0.0095818042755126,17.0,1
1lookahead,76,0.0141780376434326,22.0,1
1lookahead,77,0.00848388671875,19.0,1
1lookahead,78,0.0098640918731689,18.0,1
1lookahead,79,0.0100560188293457,18.0,1
1lookahead,80,0.0088679790496826,18.0,1
1lookahead,81,0.0091569423675537,15.0,1
1lookahead,82,0.0087518692016601,18.0,1
1lookahead,83,0.0099892616271972,19.0,1
1lookahead,84,0.0086598396301269,15.0,1
1lookahead,85,0.0078370571136474,16.0,1
1lookahead,86,0.010401964187622,18.0,1
1lookahead,87,0.0143260955810546,22.0,1
1lookahead,88,0.009592056274414,18.0,1
1lookahead,89,0.0085740089416503,17.0,1
1lookahead,90,0.0114848613739013,19.0,1
1lookahead,91,0.0104491710662841,20.0,1
1lookahead,92,0.0093669891357421,19.0,1
1lookahead,93,0.0130832195281982,21.0,1
1lookahead,94,0.0120677947998046,22.0,1
1lookahead,95,0.0084850788116455,16.0,1
1lookahead,96,0.0117139816284179,19.0,1
1lookahead,97,0.0046930313110351,12.0,1
1lookahead,98,0.0092651844024658,18.0,1
1lookahead,99,0.0109648704528808,20.0,1
1lookahead,0,0.023453950881958,17.0,2
1lookahead,1,0.0141429901123046,17.0,2
1lookahead,2,0.0135080814361572,16.0,2
1lookahead,3,0.0189440250396728,18.0,2
1lookahead,4,0.0122418403625488,14.0,2
1lookahead,5,0.0136339664459228,14.0,2
1lookahead,6,0.0138778686523437,16.0,2
1lookahead,7,0.0215680599212646,17.0,2
1lookahead,8,0.014312744140625,19.0,2
1lookahead,9,0.0116641521453857,13.0,2
1lookahead,10,0.0216710567474365,20.0,2
1lookahead,11,0.0124650001525878,12.0,2
1lookahead,12,0.0153660774230957,16.0,2
1lookahead,13,0.0214958190917968,19.0,2
1lookahead,14,0.0219819545745849,20.0,2
1lookahead,15,0.0104000568389892,13.0,2
1lookahead,16,0.0151178836822509,16.0,2
1lookahead,17,0.0148029327392578,16.0,2
1lookahead,18,0.013772964477539,16.0,2
1lookahead,19,0.0210959911346435,19.0,2
1lookahead,20,0.0165112018585205,17.0,2
1lookahead,21,0.0178718566894531,19.0,2
1lookahead,22,0.0223910808563232,21.0,2
1lookahead,23,0.0124752521514892,15.0,2
1lookahead,24,0.0157878398895263,16.0,2
1lookahead,25,0.0149598121643066,18.0,2
1lookahead,26,0.0191829204559326,20.0,2
1lookahead,27,0.0198390483856201,19.0,2
1lookahead,28,0.0188090801239013,17.0,2
1lookahead,29,0.0172908306121826,14.0,2
1lookahead,30,0.0125632286071777,17.0,2
1lookahead,31,0.0130789279937744,14.0,2
1lookahead,32,0.0205957889556884,19.0,2
1lookahead,33,0.0152177810668945,17.0,2
1lookahead,34,0.0683879852294921,20.0,2
1lookahead,35,0.0193798542022705,19.0,2
1lookahead,36,0.0160009860992431,16.0,2
1lookahead,37,0.0283358097076416,23.0,2
1lookahead,38,0.0179660320281982,18.0,2
1lookahead,39,0.0144078731536865,14.0,2
1lookahead,40,0.0170092582702636,17.0,2
1lookahead,41,0.0115969181060791,13.0,2
1lookahead,42,0.0132460594177246,15.0,2
1lookahead,43,0.0153248310089111,16.0,2
1lookahead,44,0.0123989582061767,14.0,2
1lookahead,45,0.0166258811950683,16.0,2
1lookahead,46,0.0174157619476318,19.0,2
1lookahead,47,0.0220029354095459,18.0,2
1lookahead,48,0.0156159400939941,16.0,2
1lookahead,49,0.0182981491088867,16.0,2
1lookahead,50,0.0153441429138183,16.0,2
1lookahead,51,0.0221350193023681,20.0,2
1lookahead,52,0.0117030143737792,15.0,2
1lookahead,53,0.0174250602722167,17.0,2
1lookahead,54,0.0237989425659179,20.0,2
1lookahead,55,0.0215752124786376,20.0,2
1lookahead,56,0.0220618247985839,20.0,2
1lookahead,57,0.0211482048034667,18.0,2
1lookahead,58,0.0134267807006835,16.0,2
1lookahead,59,0.0147521495819091,16.0,2
1lookahead,60,0.0134577751159667,16.0,2
1lookahead,61,0.0196249485015869,20.0,2
1lookahead,62,0.0121381282806396,14.0,2
1lookahead,63,0.0209288597106933,18.0,2
1lookahead,64,0.0232682228088378,21.0,2
1lookahead,65,0.0206992626190185,18.0,2
1lookahead,66,0.0102710723876953,14.0,2
1lookahead,67,0.0158209800720214,18.0,2
1lookahead,68,0.0187437534332275,20.0,2
1lookahead,69,0.0152308940887451,17.0,2
1lookahead,70,0.0197539329528808,18.0,2
1lookahead,71,0.0224490165710449,18.0,2
1lookahead,72,0.0223879814147949,20.0,2
1lookahead,73,0.0140521526336669,16.0,2
1lookahead,74,0.0159840583801269,19.0,2
1lookahead,75,0.0171818733215332,19.0,2
1lookahead,76,0.0239768028259277,20.0,2
1lookahead,77,0.0131392478942871,16.0,2
1lookahead,78,0.0179719924926757,18.0,2
1lookahead,79,0.0155189037322998,16.0,2
1lookahead,80,0.015110969543457,17.0,2
1lookahead,81,0.0176589488983154,18.0,2
1lookahead,82,0.0145111083984375,17.0,2
1lookahead,83,0.0172669887542724,18.0,2
1lookahead,84,0.014981985092163,15.0,2
1lookahead,85,0.0129389762878417,15.0,2
1lookahead,86,0.018028974533081,17.0,2
1lookahead,87,0.0238447189331054,20.0,2
1lookahead,88,0.0152928829193115,16.0,2
1lookahead,89,0.0145289897918701,17.0,2
1lookahead,90,0.0213639736175537,21.0,2
1lookahead,91,0.0177309513092041,18.0,2
