method,board,time,moves,beam_width
1lookahead,0,0.0094060897827148,17,1
1lookahead,0,0.0153400897979736,17,2
1lookahead,0,0.0289735794067382,16,4
1lookahead,0,0.0505445003509521,14,8
1lookahead,0,0.1023674011230468,14,16
1lookahead,0,0.193988561630249,14,32
1lookahead,0,0.3695645332336426,14,64
1lookahead,0,0.7178187370300293,14,128
1lookahead,0,1.4898457527160645,14,256
1lookahead,0,2.968170642852783,14,512
1lookahead,0,5.52750563621521,14,1024
1lookahead,0,10.787048101425173,14,2048
2lookahead,0,0.0345191955566406,14,1
2lookahead,0,0.0663046836853027,14,2
2lookahead,0,0.1186249256134033,14,4
2lookahead,0,0.2317640781402588,14,8
2lookahead,0,0.4661257266998291,14,16
2lookahead,0,0.9289138317108154,14,32
2lookahead,0,1.6573634147644043,14,64
2lookahead,0,3.2261765003204346,14,128
2lookahead,0,6.517447233200073,14,256
2lookahead,0,13.140295505523682,14,512
1lookahead,1,0.0079922676086425,16,1
1lookahead,1,0.0143609046936035,16,2
1lookahead,1,0.0295908451080322,16,4
1lookahead,1,0.0481963157653808,14,8
1lookahead,1,0.0963046550750732,14,16
1lookahead,1,0.1946001052856445,14,32
1lookahead,1,0.3446152210235595,13,64
1lookahead,1,0.6769819259643555,13,128
1lookahead,1,1.3527154922485352,13,256
1lookahead,1,2.6626038551330566,13,512
1lookahead,1,5.003977298736572,13,1024
1lookahead,1,9.762598037719728,13,2048
2lookahead,1,0.0364398956298828,14,1
2lookahead,1,0.0715689659118652,15,2
2lookahead,1,0.1182842254638671,15,4
2lookahead,1,0.2299222946166992,15,8
2lookahead,1,0.4427831172943115,14,16
2lookahead,1,0.8808362483978271,13,32
2lookahead,1,1.5502679347991943,13,64
2lookahead,1,2.9814531803131104,13,128
2lookahead,1,5.98881721496582,13,256
2lookahead,1,12.093451976776125,13,512
1lookahead,2,0.009662389755249,18,1
1lookahead,2,0.0173056125640869,18,2
1lookahead,2,0.0363633632659912,20,4
1lookahead,2,0.0528714656829834,15,8
1lookahead,2,0.1062378883361816,15,16
1lookahead,2,0.2144737243652343,15,32
1lookahead,2,0.3984630107879638,15,64
1lookahead,2,0.7713878154754639,15,128
1lookahead,2,1.583509922027588,15,256
1lookahead,2,3.1833977699279785,14,512
1lookahead,2,5.964430809020996,14,1024
1lookahead,2,11.516018629074097,14,2048
2lookahead,2,0.0431866645812988,15,1
2lookahead,2,0.076848030090332,15,2
2lookahead,2,0.1390318870544433,15,4
2lookahead,2,0.3126063346862793,15,8
2lookahead,2,0.5444347858428955,15,16
2lookahead,2,1.1474010944366455,15,32
2lookahead,2,2.0123038291931152,15,64
2lookahead,2,3.7925407886505127,15,128
2lookahead,2,7.643124580383301,15,256
2lookahead,2,16.06319546699524,14,512
1lookahead,3,0.0097444057464599,16,1
1lookahead,3,0.0175204277038574,16,2
1lookahead,3,0.032278299331665,16,4
1lookahead,3,0.0645122528076171,16,8
1lookahead,3,0.129150390625,16,16
1lookahead,3,0.2630848884582519,16,32
1lookahead,3,0.5046441555023193,16,64
1lookahead,3,0.989293336868286,14,128
1lookahead,3,1.9553992748260496,14,256
1lookahead,3,3.987195491790771,14,512
1lookahead,3,7.962317705154419,14,1024
1lookahead,3,14.920964241027832,14,2048
2lookahead,3,0.0576908588409423,16,1
2lookahead,3,0.1012365818023681,16,2
2lookahead,3,0.1906545162200927,16,4
2lookahead,3,0.3840930461883545,16,8
2lookahead,3,0.7755935192108154,16,16
2lookahead,3,1.625556707382202,14,32
2lookahead,3,2.89650821685791,14,64
2lookahead,3,5.507606267929077,14,128
2lookahead,3,11.213645219802856,14,256
1lookahead,4,0.0116558074951171,19,1
1lookahead,4,0.0215456485748291,19,2
1lookahead,4,0.0377829074859619,17,4
1lookahead,4,0.066828966140747,15,8
1lookahead,4,0.1333785057067871,15,16
1lookahead,4,0.2741289138793945,15,32
1lookahead,4,0.5072376728057861,15,64
1lookahead,4,1.01916241645813,15,128
1lookahead,4,2.0028507709503174,15,256
1lookahead,4,4.063349485397339,15,512
1lookahead,4,7.9309165477752686,15,1024
1lookahead,4,14.591974258422852,14,2048
2lookahead,4,0.0595238208770751,15,1
2lookahead,4,0.1070647239685058,16,2
2lookahead,4,0.2036123275756836,16,4
2lookahead,4,0.4138484001159668,16,8
2lookahead,4,0.7978096008300781,15,16
2lookahead,4,1.649416446685791,15,32
2lookahead,4,2.919609546661377,15,64
2lookahead,4,5.402605056762695,14,128
2lookahead,4,10.854301691055298,14,256
1lookahead,5,0.0119976997375488,20,1
1lookahead,5,0.0162353515625,16,2
1lookahead,5,0.0322201251983642,14,4
1lookahead,5,0.0590794086456298,14,8
1lookahead,5,0.1194760799407959,14,16
1lookahead,5,0.2428030967712402,14,32
1lookahead,5,0.4898717403411865,14,64
1lookahead,5,0.862614631652832,14,128
1lookahead,5,1.7746427059173584,14,256
1lookahead,5,3.608778476715088,14,512
1lookahead,5,6.907076597213745,14,1024
1lookahead,5,13.060397386550903,14,2048
2lookahead,5,0.0518596172332763,14,1
2lookahead,5,0.0855937004089355,14,2
2lookahead,5,0.1729111671447754,15,4
2lookahead,5,0.3392820358276367,14,8
2lookahead,5,0.6790468692779541,14,16
2lookahead,5,1.392549991607666,14,32
2lookahead,5,2.4281744956970215,14,64
2lookahead,5,4.494134187698364,14,128
2lookahead,5,9.10119652748108,14,256
2lookahead,5,19.036553859710693,14,512
1lookahead,6,0.0118038654327392,18,1
1lookahead,6,0.0226762294769287,18,2
1lookahead,6,0.0419278144836425,18,4
1lookahead,6,0.0858376026153564,18,8
1lookahead,6,0.1610913276672363,17,16
1lookahead,6,0.2986986637115478,17,32
1lookahead,6,0.534888744354248,15,64
1lookahead,6,1.084538221359253,15,128
1lookahead,6,2.072732448577881,14,256
1lookahead,6,4.254834413528442,14,512
1lookahead,6,8.354852199554443,14,1024
1lookahead,6,15.736878395080566,14,2048
2lookahead,6,0.0828745365142822,18,1
2lookahead,6,0.1204419136047363,15,2
2lookahead,6,0.2268896102905273,15,4
2lookahead,6,0.4487123489379883,15,8
2lookahead,6,0.910212516784668,15,16
2lookahead,6,1.8614954948425293,15,32
2lookahead,6,3.433394193649292,14,64
2lookahead,6,6.426375389099121,14,128
2lookahead,6,12.910849571228027,14,256
1lookahead,7,0.0183093547821044,25,1
1lookahead,7,0.0292301177978515,24,2
1lookahead,7,0.0531728267669677,21,4
1lookahead,7,0.1026906967163086,20,8
1lookahead,7,0.2079808712005615,20,16
1lookahead,7,0.4061570167541504,19,32
1lookahead,7,0.7281577587127686,18,64
1lookahead,7,1.4572739601135254,18,128
1lookahead,7,2.8176376819610596,18,256
1lookahead,7,5.647324323654175,18,512
1lookahead,7,11.022520542144775,18,1024
2lookahead,7,0.0980584621429443,20,1
2lookahead,7,0.1929590702056884,21,2
2lookahead,7,0.363569974899292,20,4
2lookahead,7,0.702688455581665,21,8
2lookahead,7,1.397099494934082,20,16
2lookahead,7,2.6191444396972656,18,32
2lookahead,7,4.762662410736084,18,64
2lookahead,7,9.039746046066284,18,128
2lookahead,7,17.575763702392578,17,256
1lookahead,8,0.0092313289642333,19,1
1lookahead,8,0.0153534412384033,14,2
1lookahead,8,0.0279521942138671,17,4
1lookahead,8,0.0506660938262939,14,8
1lookahead,8,0.1053359508514404,14,16
1lookahead,8,0.2065675258636474,14,32
1lookahead,8,0.3950440883636474,14,64
1lookahead,8,0.7602102756500244,13,128
1lookahead,8,1.5546562671661377,13,256
1lookahead,8,2.93882417678833,13,512
1lookahead,8,5.299899339675903,12,1024
1lookahead,8,10.363116264343262,12,2048
2lookahead,8,0.038053274154663,17,1
2lookahead,8,0.0660667419433593,15,2
2lookahead,8,0.1303861141204834,13,4
2lookahead,8,0.2604663372039795,13,8
2lookahead,8,0.5304388999938965,13,16
2lookahead,8,1.044097900390625,13,32
2lookahead,8,1.679211139678955,13,64
2lookahead,8,3.351734399795532,13,128
